id,productName,Product_Category,Description,Marketing_Text,Typical_Use_Cases,Technical_Attributes
1,Laptop X1,Computers,"Laptop X1 is a powerful and sleek device designed for professionals on the go. It features a high-resolution display, fast processor, and long-lasting battery life.",Boost your productivity with Laptop X1. Its lightweight design and powerful performance make it perfect for business travelers and remote workers.,"Remote work, Business travel, Office use","Processor: Intel Core i7, RAM: 16GB, Storage: 512GB SSD, Display: 14"" FHD"
2,Desktop Pro,Computers,"Desktop Pro is a reliable workstation for demanding tasks. With its customizable configuration options, it's suitable for a variety of professional applications.","Experience unmatched performance with Desktop Pro. Its expandable design allows you to tailor it to your specific needs, whether you're crunching numbers or editing multimedia content.","Data analysis, Video editing, Software development","Processor: AMD Ryzen 9, RAM: 32GB, Storage: 1TB HDD + 512GB SSD, Graphics: NVIDIA GeForce RTX 3080"
3,Tablet Max,Computers,Tablet Max combines the portability of a tablet with the functionality of a laptop. Its detachable keyboard and touchscreen display offer versatility for work and entertainment.,"Stay connected and productive with Tablet Max. Whether you're in the office or on the go, its compact design and powerful features make it a reliable companion.","Presentations, Note-taking, Field work","Processor: Qualcomm Snapdragon 865, RAM: 8GB, Storage: 256GB SSD, Display: 12.4"" AMOLED"
4,Smartphone Elite,Mobile Devices,"Smartphone Elite redefines mobile productivity with its advanced features and sleek design. From multitasking to mobile gaming, it's designed to keep up with your busy lifestyle.","Elevate your mobile experience with Smartphone Elite. Its high-performance camera, fast charging, and AI capabilities make it the perfect companion for professionals and tech enthusiasts alike.","Mobile productivity, Gaming, Photography","Processor: Apple A15 Bionic, RAM: 6GB, Storage: 128GB, Camera: 12MP (Wide) + 12MP (Ultra Wide)"
5,Smartwatch Pro,Wearables,"Smartwatch Pro is your personal assistant on your wrist. With its fitness tracking, notifications, and built-in GPS, it keeps you connected and informed throughout the day.",Stay on top of your health and productivity goals with Smartwatch Pro. Its sleek design and intuitive interface make it a must-have accessory for busy professionals and fitness enthusiasts alike.,"Fitness tracking, Notifications, Navigation","Display: 1.4"" AMOLED, Battery Life: Up to 7 days, Sensors: Heart rate, GPS, Accelerometer"
6,Printer Plus,Office Equipment,"Printer Plus is a versatile printer designed for small businesses and home offices. With its wireless connectivity and high-speed printing, it's perfect for everyday documents and photos.","Print with confidence using Printer Plus. Its compact design and user-friendly features make it a reliable addition to any workspace, whether you're printing invoices or family photos.","Document printing, Photo printing, Wireless connectivity","Printing technology: Inkjet, Printing speed: Up to 20 ppm (black), 10 ppm (color), Connectivity: Wi-Fi, USB"
7,Scanner Pro,Office Equipment,"Scanner Pro simplifies document management with its fast scanning and automatic document feeder. From receipts to contracts, it digitizes your paperwork with ease.","Digitize your workflow with Scanner Pro. Its intuitive software and high-quality scanning capabilities streamline your document management process, saving you time and effort.","Document scanning, Receipt management, Digital archiving","Scanning speed: Up to 30 ppm, Document feeder capacity: 50 sheets, Resolution: 600 dpi"
8,Conference Speaker,Office Equipment,"Conference Speaker enhances your virtual meetings with its clear audio and omnidirectional microphone. With noise-canceling technology, it ensures crystal-clear communication every time.",Elevate your online meetings with Conference Speaker. Its compact design and plug-and-play functionality make it a convenient solution for conference calls and webinars.,"Virtual meetings, Webinars, Remote collaboration","Audio output: 10W, Microphone: Omnidirectional, Connectivity: USB, Bluetooth"
9,Wireless Mouse,Computer Accessories,"Wireless Mouse offers freedom and convenience with its wireless design and ergonomic shape. With precision tracking and long battery life, it's perfect for everyday use.",Upgrade your computing experience with Wireless Mouse. Its responsive performance and comfortable grip make it an essential accessory for work and leisure.,"Productivity, Gaming, Comfort","Wireless connectivity: 2.4GHz, DPI: Adjustable (800-2400), Battery life: Up to 12 months"
10,External SSD,Storage Devices,"External SSD combines speed and reliability for your data storage needs. With its compact size and high-capacity storage, it's ideal for backups, file transfers, and multimedia content.",Store and transfer your data with confidence using External SSD. Its durable construction and fast transfer speeds ensure your files are safe and accessible whenever you need them.,"Data backup, File transfer, Multimedia storage","Storage capacity: 1TB, Interface: USB 3.2 Gen 2, Read speed: Up to 1000 MB/s, Write speed: Up to 950 MB/s"
